8-863,A - F,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2.4,, CARGA DE MATERIAL DE LIMPEZA  ,m3,36252.6,,,2.26,81930.87599999999,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22.02.06
2.5,, TRANSPORTE DE MATERIAL DE 1ª/2ª CATEGORIA ATÉ 1 km  ,m3 x km,729.26,,,3.74,2727.4324,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22.03.01
2.6,, TRANSPORTE DE MATERIAL DE 1ª/2ª CATEGORIA ATÉ 2 km  ,m3 x km,2187.76,,,2.2,4813.072000000001,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22.03.02
2.7,, TRANSPORTE DE MATERIAL DE 1ª/2ª CATEGORIA ATÉ 5 km  ,m3 x km,3000.93,,,1.71,5131.5903,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22.03.03
2.8,CB0002, TRANSPORTE DE MATERIAL DE 1ª/2ª CATEGORIA ATÉ 10 km  ,m3 x km,247956.53,,,1.43,354577.8379,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22.03.04
2.9,, TRANSPORTE DE MATERIAL DE 1ª/2ª CATEGORIA ATÉ 15 km  ,m3 x km,63019.43,,,1.26,79404.4818,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22.03.05
2.10,, TRANSPORTE DE MATERIAL DE LIMPEZA ATÉ 5 km  ,m3 x km,35550.75,,,1.93,68612.9475,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22.88.03.12.01
2.11,, TRANSPORTE DE MATERIAL DE LIMPEZA ATÉ 10 km  ,m3 x km,205980.75,,,1.44,296612.27999999997,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22.88.03.12.02
2.12,, TRANSPORTE DE MATERIAL DE LIMPEZA ATÉ 15 km  ,m3 x km,17088.75,,,1.3,22215.375,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22.88.03.12.03
2.13,, TRANSPORTE DE MATERIAL DE LIMPEZA ALÉM DE 15 km  ,m3 x km,87885,,,1.12,98431.20000000001,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22.88.03.12.04
2.14,, COMPACTAÇÃO DE ATERRO MAIOR/IGUAL 95% PN  ,m3,30672,,,3.01,92322.71999999999,ACESSOS - LADO SANTOS E GUARUJÁ,TERRAPLENAGEM,22.04.01
3,, PAVIMENTAÇÃO  ,,,,,,,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ,23
3.1,, ESPALHAMENTO / REGULARIZAÇÃO / COMPACTAÇÃO DE MATERIAL EM BOTA-FORA.  ,m3,39829.93,,,2.21,88024.1453,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ,22.02.09
3.2,, MELHORIA / PREPARO SUB-LEITO -100% EN  ,m2,106846.37,,,1.14,121804.86179999998,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ,22.02.09
3.3,, SUB-BASE OU BASE BRITA GRADUADA SIMPLES  ,m3,21323.73,,,168.38,3590489.6574,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ,23.04.03.01
3.4,, SUB-BASE OU BASE DE PEDRA RACHÃO  ,m3,48590.87,,,168.04,8165209.7948,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ,23.04.03.04
3.5,, SUB-BASE OU BASE BRITA GRADUADA COM CIMENTO 4%VOL  ,m3,23047.05,,,208.16,4797473.927999999,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ,23.04.04.04
3.6,, IMPRIMADURA BETUMINOSA IMPERMEABILIZANTE  ,m2,127597.58,,,3.42,436383.72359999997,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ,23.05.01
3.7,, IMPRIMADURA BETUMINOSA LIGANTE  ,m2,320347.81,,,1.32,422859.1092,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ,23.05.02
3.8,, IMPRIMADURA BETUMINOSA LIGANTE MODIFICADA COM POLÍMERO  ,m2,92170.2,,,1.71,157611.042,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ,23.05.04
3.9,, CONCRETO ASFÁLTICO USINADO A QUENTE  BINDER - GRADUAÇÃO B COM DOP  ,m3,10071.28,,,488.89,4923748.0792000005,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ,23.08.02
3.10,, CAMADA ROLAMENTO CBUQ - GRADUAÇÃO C - COM DOP  ,m3,7254.62,,,526.62,3820427.9844,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ,23.08.03.03
3.11,, CONCRETO ASFÁLTICO MODIFICADO POR POLÍMERO  ,m3,4343.57,,,637.36,2768417.7752,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ,23.08.05
3.12,," FRESAGEM CONTÍNUA DE PAVIMENTO, INDEPENDENTE DA ESPESSURA  ",m3,4776.51,,,139.28,665272.3128000001,ACESSOS - LADO SANTOS E GUARUJÁ, PAVIMENTAÇÃO  ,23.10.01
4,,OBRAS DE ARTE CORRENTE E DRENAGEM, ,,,,,,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24
4.1,, ESPALHAMENTO / REGULARIZAÇÃO / COMPACTAÇÃO DE MATERIAL EM BOTA-FORA.  ,m3,25813.9,,,2.21,57048.719000000005,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,22.02.09
4.2,, TRANSPORTE DE MATERIAL DE 1ª/2ª CATEGORIA ATÉ 5 km  ,m3 x km,129069.46,,,1.71,220708.7766,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,22.03.03
4.3,, ESCAVAÇÃO MECÂNICA PARA OBRAS SEM EXPLOSIVO  ,m3,15021.05,,,10.92,164029.86599999998,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.02.02
4.4,, ESCAVAÇÃO DE DRENOS E BUEIROS SEM EXPLOSIVO  ,m3,121417.43,,,62.83,7628657.1269,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.02.08
4.5,, ESCORAMENTO DE VALAS/CAVAS -CONTÍNUO  ,m2,23510.93,,,96,2257049.2800000003,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.03.06
4.6,, ESCORAMENTO DE VALAS/CAVAS -DESCONTÍNUO  ,m2,110292.14,,,64.68,7133695.615200001,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.03.07
4.7,, FORMA PLANA PARA CONCRETO COMUM  ,m2,8338.55,,,80.07,667667.6984999999,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.05.01
4.8,, BARRA DE AÇO CA-50  ,kg,270419.44,,,8.52,2303973.6288,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.06.02
4.9,, CONCRETO fck 10 MPa  ,m3,453.61,,,386.3,175229.543,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.07.01
4.10,, CONCRETO fck 15 MPa  ,m3,1241.07,,,426.19,528931.6233,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.07.02
4.11,, CONCRETO fck 20 MPa  ,m3,1248.84,,,455.28,568571.8751999999,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.07.04
4.12,, CONCRETO fck 25 MPa  ,m3,1049.76,,,467.63,490899.2688,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.07.05
4.13,, CALÇAMENTO DE CONCRETO fck 15 MPa  ,m3,1706.98,,,610.14,1041496.7772,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.10.02
4.14,, ALVENARIA DE BLOCO DE CONCRETO  ,m3,2271.85,,,460.87,1047027.5094999999,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.11.05
4.15,, REVESTIMENTO DE ARGAMASSA DE CIMENTO E AREIA  ,m2,10811.41,,,34.41,372020.61809999996,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.11.07
4.16,, ENCHIMENTO DE VALA COM PEDRA BRITADA 1 E 2  ,m3,7411.57,,,98.43,729520.8351,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.12.01.01
4.17,, COMPACTAÇÃO MANUAL COM REATERRO SOLO LOCAL  ,m3,110624.59,,,24.16,2672690.0944,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.12.08
4.18,," TUBO DE CONCRETO D= 0,50m CLASSE PA-2  ",m,1534,,,183.95,282179.3,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.16.04
4.19,," TUBO DE CONCRETO D= 0,60m CLASSE PA-2  ",m,10654.4,,,224.28,2389568.832,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.16.08
4.20,," TUBO DE CONCRETO D= 0,80m CLASSE PA-2  ",m,5361,,,328.77,1762535.97,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.16.12
4.21,," TUBO DE CONCRETO D= 1,00m CLASSE PA-2  ",m,2367,,,453.48,1073387.1600000001,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.16.16
4.22,," TUBO DE CONCRETO D= 1,20m CLASSE PA-2 TUBO DE CONCRETO D 1,20m CLASSE PA 2  ",mm,1796,,,715.88,1285720.48,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.16.20
4.23,, SARJETA DE CONCRETO fck 20 MPa  ,m3,1599.94,,,603.32,965275.8008000001,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.19.04.01
4.24,, GUIA DE CONCRETO fck 20 MPa  ,m3,1326.05,,,751.75,996858.0875,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.19.05.01
4.25,, TELAR E TAMPÃO DE FERRO FUNDIDO  ,unid,466,,,455.44,212235.04,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.19.06
4.26,, BOMBA CENTRÍFUGA Hman = 25mca Q=2400 l/min  ,unid,22,,,6466.5,142263,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.88.03.05.01
4.27,, BOMBA CENTRÍFUGA Hman = 40mca Q=840 l/min  ,unid,2,,,3510,7020,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.88.03.05.02
4.28,, GRELHA METAL VEÍCULOS ATÉ 10 ton 13 x 50 cm  ,unid,605,,,83.05,50245.25,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.88.71.01
4.29,, GRELHA METAL 13 x 50 cm  ,unid,2148,,,83.05,178391.4,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.88.71.02
4.30,, CALHA DRENAGEM 13 x 50 cm  ,unid,8592,,,83.05,713565.6,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.88.71.03
4.31,," TUBO DE AÇO CARBONO EXTREMIDADE CHANFRADA, PRETO, SEM COSTURA, PROTEGIDO COM FITA ANTI-CORROSIVA, ASTM A-106 GRB, SCH-40 -Ø150 mm  ",m,2166,,,510.91,1106631.06,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.88.72.01
4.32,," TUBO DE AÇO CARBONO EXTREMIDADE CHANFRADA, PRETO, SEM COSTURA, PROTEGIDO COM FITA ANTI-CORROSIVA, ASTM A-106 GRB, SCH-40 -Ø100 mm  ",m,690.6,,,343.28,237069.16799999998,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.88.72.02
4.33,," CURVA 90º DE AÇO CARBONO ASTM A-106 GRB, SCH-40 -Ø100 mm  ",unid,130,,,133.96,17414.8,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.88.72.03
4.34,, LAJOTA PRÉ MOLDADA DE CONCRETO E=7CM JUNTA DE GRAMA  ,m2,10386,,,55.24,573722.64,ACESSOS - LADO SANTOS E GUARUJÁ,OBRAS DE ARTE CORRENTE E DRENAGEM,24.88.17.02.15
5,, OBRAS DE CONTENÇÃO GEOTÉCNICA  , ,,,,,,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25
5.1,, DEMOLIÇÃO DE GUIA EM CONCRETO ARMADO -PAREDE DIAFRAGMA  ,m3,1562.9,,,294.37,460070.873,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25.21.88.05.01
5.2,, ESCAVAÇÃO E CARGA DE MATERIAL DE 1ª/2ª CATEGORIA  ,m3,199090,,,4.9,975541.0000000001,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,22.02.01
5.3,, ESCAVAÇÃO E CARGA DE SOLO MOLE SOB LÂMINA D' ÁGUA  ,m3,90000,,,10.66,959400,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,22.02.05
5.4,, ESPALHAMENTO / REGULARIZAÇÃO / COMPACTAÇÃO DE MATERIAL EM BOTA-FORA.  ,m3,268240,,,2.21,592810.4,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,22.02.09
5.5,, TRANSPORTE DE MATERIAL DE 1ª/2ª CATEGORIA ATÉ 15 km  ,m3 x km,2836200,,,1.26,3573612,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,22.03.05
5.6,, TRANSPORTE DE MATERIAL DE 1ª/2ª CATEGORIA ALÉM DE 15 km  ,m3 x km,7129600,,,0.99,7058304,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,22.03.06
5.7,, TRANSPORTE DE SOLO MOLE ALÉM DE 2 km  ,m3 x km,4394542.09,,,2.41,10590846.436900001,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,22.03.10
5.8,, COMPACTAÇÃO DE ATERRO MAIOR/IGUAL 95% PN  ,m3,189080,,,3.01,569130.7999999999,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,22.04.01
5.9,, FUNDAÇÃO DE ATERRO COM PEDRA RACHÃO  ,m3,24396,,,101.3,2471314.8,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,22.06.04
5.10,, VOLUME DE ATERRO COMPACTADO  ,m3,25662.52,,,8.52,218644.6704,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,24.01.01
5.11,, ENCHIMENTO DE VALA COM AREIA LAVADA  ,m3,1100,,,131.19,144309,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,24.12.02
5.12,, MANTA GEOTEXTIL NÃO TECIDA RESISTENCIA LONGITUDIANAL 31 kN/m  ,m2,40660,,,16.95,689187,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,24.14.01.09
5.13,," DUTO CORRUGADO PEAD 0,10m  ",m,630,,,44.53,28053.9,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,24.15.16
5.14,, PONTEIRA DRENANTE 4 LINHAS  ,unid,280,,,334.46,93648.79999999999,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,24.88.29.06.13
5.15,, FORNECIMENTO E INSTALAÇÃO DE TUBO GEOMECÂNICO DIÂMETRO DE 100mm  ,m,9144,,,35.42,323880.48000000004,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,24.88.70.01
5.16,, CONJUNTO MOTOR BOMBA DE 20 HP  ,unid,10,,,10475.85,104758.5,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,24.88.73.01
5.17,, DHP A VÁCUO  ,m,690,,,114.75,79177.5,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,24.88.73.02
5.18,, FORNECIMENTO E INSTALAÇÃO DE INCLINÔMETROS  ,unid,70,,,31671,2216970,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,24.88.73.03
5.19,, ESCAVAÇÃO MECÂNICA PARA OBRAS SEM EXPLOSIVO  ,m3,542191.72,,,10.92,5920733.5824,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25.02.02
5.20,, FORMA PLANA PARA CONCRETO COMUM  ,m2,15769.66,,,80.07,1262676.6761999999,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25.06.01
5.21,, BARRA DE AÇO CA-50  ,kg,11022784.8,,,8.52,93914126.496,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25.07.02
5.22,, BARRA DE AÇO CA-60  ,kg,198481.2,,,9.2,1826027.04,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25.07.03
5.23,," FORNECIMENTO E INSTALAÇÃO DE TELA DE METAL PARA GUIA AÇO CA-60 (2,56 kg/m²)  ",kg,33033.55,,,7.38,243787.59900000002,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25.07.05
5.24,, CONCRETO fck 15 MPa  ,m3,1562.9,,,426.19,666092.351,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25.09.02
5.25,, CONCRETO fck 20 MPa  ,m3,108993,,,455.28,49622333.04,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25.09.04
5.26,," FORNECIMENTO, INSTALAÇÃO E LANÇAMENTO DE TUBO METÁLICO EM AÇO CARBONO COM RESISTÊNCIA CARACTERISTICA SUPERIOR A 350 MPa, DIÂMETRO DE 1500 mm, ESPESSURA DE PAREDE > 16 mm E COMPRIMENTO DE 50,0 m -EXECUÇÃO DE ESTRONCAS  ",kg,1591744.5,,,10.69,17015748.705,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25.88.04.06.01
5.27,," FORNECIMENTO E CRAVAÇÃO DE  COMBINED WALL WITH TUBULAR PILES  COM COMPRIMENTO ATÉ 50,0 METROS, EM AÇO CARBONO COM RESISTÊNCIA CARACTERISTICA SUPERIOR A 350 Mpa, INCLUSIVE JUNTA SELANTE POLIMÉRICA ENTRE ELEMENTOS  ",kg,10492093.15,,,10.89,114258894.4035,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25.88.04.06.02
5.28,," PERFURAÇÃO EM ROCHA, ROLERBIT, DE DIÂMETRO 1,40M  ",m,1200,,,4830,5796000,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25.88.04.06.07
5.29,," EXECUÇÃO DE PAREDE DIAFRAGMA EM SOLO COM CLAMSHELL HIDRAULICO, ESPESSURA 0,80 METRO, INCLUINDO ESCAVAÇÃO E DEJEITO EM SOLO COM SPT < 50, COLOCAÇÃO DE ARMADURA E CONCRETAGEM.  ",m3,48342.36,,,541.88,26195758.0368,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25.88.17.01
5.30,," EXECUÇÃO DE PAREDE DIAFRAGMA EM ROCHA ALTERADA COM HIDROFRESA COM ESPESSURA 0,80 ALTERADA COM HIDROFRESA COM ESPESSURA 0,80 METRO, INCLUINDO ESCAVAÇÃO E DEJEITO EM SOLO COM SPT > 50, COLOCAÇÃO DE ARMADURA E CONCRETAGEM.  ",m3,29731.05,,,3427.5,101903173.875,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25.88.17.01.01
5.31,," EXECUÇÃO DE PAREDE DIAFRAGMA EM ROCHA ALTERADA COM HIDROFRESA COM ESPESSURA 0,60 METRO, INCLUINDO ESCAVAÇÃO E DEJEITO EM SOLO COM SPT > 50, COLOCAÇÃO DE ARMADURA E CONCRETAGEM.  ",m3,11993,,,3427.5,41106007.5,ACESSOS - LADO SANTOS E GUARUJÁ, OBRAS DE CONTENÇÃO GEOTÉCNICA  ,25.88.17.03.01
