Planilha: 00011 - TUNEL SUBMERSO SIGMA P82                                    ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
IM1079,ADITIVO - SÍLICA ATIVA  ,KG    ,3656116.8,            ,1.49,5447614.03,0.69,80.16,0.38,44.23
IM1841,"TUBO DE AÇO CARBONO EXTREMIDADE CHANFRADA, PRETO, SEM COSTURA, ASTM A-106 GRB, SCH-40 - Ø200 mm  ",M     ,1204,            ,4461.26,5371357.04,0.68,80.84,0.38,44.61
IM0005,ENERGIA ELÉTRICA - CONCESSIONARIA  ,KWH   ,10808769.724147,            ,0.48,5188209.88,0.66,81.5,0.36,44.97
IM1822,MATERIAL DE CONSUMO - CLAMSHELL  ,M3    ,225222.34915,            ,22.72,5117052.74,0.65,82.15,0.36,45.33
IM1630,"JATO-VENTILADOR INCLUINDO SILENCIADORES, SUPORTE E AMORTECEDORES. DIÂMETRO MÁXIMO= 900 MM  VELOCIDADE MÍNIMA NA DESCARGA= 33 M/S EMPUXO NOMINAL MÍNIMO= 800 N MOTOR: 30 KW/4 POLOS  ",UN    ,50,            ,100769.23,5038461.5,0.64,82.79,0.35,45.68
IM0101,CIMENTO ASFÁLTICO CAP 50/70  ,T     ,1906.931001,            ,2500,4767327.51,0.6,83.39,0.33,46.01
IM1093,"BARRA DE AÇO CA-50 12,5 A 25MM  ",KG    ,2097060,            ,2.23,4676443.8,0.59,83.98,0.33,46.34
IM1923,FORMA PLASTIFICADA  ,M2    ,88069.69,            ,50.9,4482747.22,0.57,84.55,0.31,46.65
IM1843,"TUBO DE AÇO CARBONO EXTREMIDADE CHANFRADA, PRETO, SEM COSTURA, ASTM -120, SCH-40 - Ø150 mm  ",M     ,1300,            ,3305.43,4297059,0.54,85.09,0.3,46.95
IM1943,"ESTACA METÁLICA, FORNECIMENTO E CRAVAÇÃO SOBRE FLUTUANTE  ",KG    ,422428.6,            ,9.36,3953931.7,0.5,85.59,0.28,47.23
IM1823,LAMA BENTONITA  ,KG    ,9082683.132,            ,0.42,3814727.26,0.48,86.07,0.27,47.5
IM1082,ADITIVO - POLIFUNCIONAL  ,KG    ,1425568.836268,            ,2.6,3706478.86,0.47,86.54,0.26,47.76
IM1083,ADITIVO - CRISTALIZANTE  ,KG    ,342581.4,            ,10.27,3518310.98,0.45,86.99,0.25,48.01
IM1081,ADITIVO - SUPERPLASTIFICANTE  ,KG    ,457014.6,            ,6.9,3153400.74,0.4,87.39,0.22,48.23
IM1826,MATERIAL DE CONSUMO - JETGROUTING  ,M     ,506042.08,            ,6.06,3066615.01,0.39,87.78,0.21,48.44
IM1910,"OPERAÇÃO DO FLUTUAMENTO DE ELEMENTO DE TÚNEL (TANQUES DE LASTRO, ANTEPAROS PRIMÁRIOS E SECUNDÁRIOS, EQUIPAMENTOS, JUNTAS GINA E PROTEÇÃO - INCLUSIVE TODOS OS EQUIPAMENTOS, MÃO DE OBRA E MATERIAIS NECESSÁRIOS PARA ESSA OPERAÇÃO)  ",UN    ,6,            ,493849.78,2963098.68,0.38,88.16,0.21,48.65
IM1875,ESCORAMENTO METALICO  ,M3    ,131266.95,            ,20,2625339,0.33,88.49,0.18,48.83
IM1914,"INSTALAÇÃO E MONITORAMENTO DO PROCESSO FLUTUAÇÃO, TRANSPORTE, IMERSÃO E ASSENTAMENTO (SENSORES NOS MÓDULOS, SENSORES NOS EQUIPAMENTOS, CENTRAL DE IMERSÃO, SOFTWARES, EQUIPAMENTOS DE INFORMÁTICA - INCLUSIVE TODOS OS EQUIPAMENTOS, MÃO DE OBRA E MATERIAIS NECESSÁRIOS PARA ESSA OPERAÇÃO)  ",UN    ,6,            ,410457.18,2462743.08,0.31,88.8,0.17,49
IM1091,"BARRA DE AÇO CA-50 8,0MM  ",KG    ,972372.799022,            ,2.53,2460103.18,0.31,89.11,0.17,49.17
IM1922,FORMA COMUM  ,M2    ,56966.97,            ,42.42,2416538.86,0.31,89.42,0.17,49.34
IM1909,"FORNECIMENTO DE PROJETOS E MEMÓRIAS DE CÁLCULOS REFERENTE A TODOS OS EQUIPAMENTOS E ATIVIDADES TEMPORÁRIAS REFERENTES A FLUTUAÇÃO, TRANSPORTE, SUBMERSÃO E ASSENTAMENTO DOS ELEMENTOS DE TÚNEL  ",GB    ,1,            ,2122075.47,2122075.47,0.27,89.69,0.15,49.49
IM1604,"REVESTIMENTO CERÂMICO ANTI-PICHAÇÃO, JUNTAS AMARRAÇÃO OU PRUMO - ASSENTADOS COM ARGAMASSA COLANTE  ",M2    ,17294.4,            ,116.18,2009263.39,0.25,89.94,0.14,49.63
IM1884,PLACA EM ESCAMA DE CONCRETO - TERRA ARMADA  ,M3    ,2122.01,            ,900,1909809,0.24,90.18,0.13,49.76
IM1363,"FITA ANTICORROSIVA PARA TUBULAÇÃO ENTERRADA, LARGURA RECOMENDADA 100MM E SOBREPOSIÇÃO DE 50%  ",M2    ,17372.03,            ,105.8,1837960.77,0.23,90.41,0.13,49.89
IM1904,FORMA EXTERNA - METÁLICA COM SUPERFICIE DE MADEIRA COM APLICAÇÃO DE DESMOLDANTE E REAPROVEITAMENTO  ,M2    ,22265.8,            ,81.6,1816889.28,0.23,90.64,0.13,50.02
IM1918,DESMOBILIZAÇÃO DE CANTEIRO DE OBRAS  ,GB    ,1,            ,1802147.89,1802147.89,0.23,90.87,0.13,50.15
IN0036,BRITA 2  ,M3    ,22177.682,            ,75,1663326.15,0.21,91.08,0.12,50.27
IM0410,COMPENSADO RESINADO DE 17 MM  ,M2    ,55407.192005,            ,29.34,1625646.73,0.21,91.29,0.11,50.38
IM1879,BRITA 0  ,M3    ,20779.923433,            ,75,1558491.85,0.2,91.49,0.11,50.49
IM1683,"FORNECIMENTO, INSTALAÇÃO, TESTE, COMISSIONAMENTO DE CABO TÉRMICO TIPO DETECTOR LINEAR DE CALOR.  ",M     ,4100,            ,356.53,1461773,0.19,91.68,0.1,50.59
IM0705,PÓ DE PEDRA  ,M3    ,21149.438001,            ,69.11,1461638.52,0.19,91.87,0.1,50.69
IM1041, CONCRETO FCK 15 MPA  - COMERCIAL  ,M3    ,6075.49083,            ,232,1409513.87,0.18,92.05,0.1,50.79
IM1627,"FITA ANTICORROSIVA PARA TUBULAÇÃO ENTERRADA, LARGURA RECOMENDADA 100MM E SOBREPOSIÇÃO DE 50%  ",M2    ,13050.3,            ,103.88,1355665.16,0.17,92.22,0.09,50.88
IM1862,BARREIRA DE SEGURANÇA PARA OAE CONF. PP-DE-C01/293  ,M     ,6514.48,            ,204.06,1329344.79,0.17,92.39,0.09,50.97
IM1893,FORNECIMENTO E APLICAÇÃO DE JUNTA DE VEDAÇÃO TIPO WATERSTOP COM ESPUMA DE INJEÇÃO COM 500 MM DE LARGURA TOTAL E 300 MM DE LARGURA DE BORRACHA  ,M     ,3330,            ,398.57,1327238.1,0.17,92.56,0.09,51.06
IM1453,LUMINÁRIA PÚBLICA LE114 DE LED (POTÊNCIA DE 138 A 152W) -150W  ,CJ    ,1643,            ,725.68,1192292.24,0.15,92.71,0.08,51.14
IM1792,"ESCADA ROLANTE, LARGURA DOS DEGRAUS DE 1,0 METRO, COM DESNÍVEL DE 9,45 METROS, VELOCIDADE DE 0,5 m/s E CAPACIDADE DE 9.000 PESSOAS/HORA  ",UN    ,4,            ,287373,1149492,0.15,92.86,0.08,51.22
IM1089,"BARRA DE AÇO CA-60 6,0MM  ",KG    ,416731.199581,            ,2.55,1062664.61,0.13,92.99,0.07,51.29
IM1643,"CONDUTORES DE COBRE, ISOLAÇÃO 760V, BAIXA EMISSÃO DE GASES TÓXICOS QUANDO QUEIMAR, SEÇÃO, 70MM2  ",M     ,22320,            ,47.31,1055959.2,0.13,93.12,0.07,51.36
IM1058,FORNECIMENTO DE ESTACA PRANCHA METALICA  ,KG    ,224970.25446,            ,4.6,1034863.16,0.13,93.25,0.07,51.43
IM1606,PISO CIMENTÍCIO VIBRO-PRENSADO À 240TON - ALTA RESISTÊNCIA - ANTIDERRAPANTE (LAVAGGIO) - SELADO  ,M2    ,4180,            ,232.36,971264.8,0.12,93.37,0.07,51.5
IM1663,CABO ÓPTICO MONOMODO - OUTDOOR/ INDOOR 4FO PRÉ-CONECTORIZADO (PMV / BACKBONE / DEMAIS SISTEMAS)  ,M     ,63100,            ,14.91,940821,0.12,93.49,0.07,51.57
IM1644,"CONDUTORES DE COBRE, ISOLAÇÃO 760V, BAIXA EMISSÃO DE GASES TÓXICOS QUANDO QUEIMAR, SEÇÃO, 95MM2  ",M     ,16320,            ,57.39,936604.8,0.12,93.61,0.07,51.64
IM1120,APARELHO DE APOIO DE NEOPRENE FRETADO  ,DM3   ,1784.4,            ,523.2,933598.08,0.12,93.73,0.07,51.71
IM1629,PLACA DE GRFC  ,M2    ,28710,            ,32.08,921016.8,0.12,93.85,0.06,51.77
IM1850,BARREIRA DE SEGURANÇA COM PASSEIO CONFORME PP-DE-C01/293  ,M     ,1740,            ,508.58,884929.2,0.11,93.96,0.06,51.83
IM1634,"ELETROCALHA PARA CABOS, COM TAMPA EM CHAPA DE AÇO GALVANIZADO A FOGO, TIPO PESADO, COMPRIMENTO DE 3000 MM, 400 X 100 (ILUMINAÇÃO)  ",M     ,9600,            ,88.72,851712,0.11,94.07,0.06,51.89
IM1809,ROYALTIE PARA JAZIDA DE ARGILA  ,M3    ,268992.82,            ,3,806978.46,0.1,94.17,0.06,51.95
IM1063,CORTE E DOBRA DO AÇO EM USINA  ,KG    ,2857045.998603,            ,0.28,799972.85,0.1,94.27,0.06,52.01
IM1877,"CONCRETO PRÉ-FABRICADO, GALERIA  ",M3    ,646.21878,            ,1200,775471.66,0.1,94.37,0.05,52.06
IM1794,"ESCADA ROLANTE, LARGURA DOS DEGRAUS DE 1,0 METRO, COM DESNÍVEL DE 6,65 METROS, VELOCIDADE DE 0,5 m/s E CAPACIDADE DE 9.000 PESSOAS/HORA  ",UN    ,3,            ,258345.42,775036.26,0.1,94.47,0.05,52.11
IM1565,"FORNECIMENTO, INSTALAÇÃO, TESTE, COMISSIONAMENTO DE CABO TÉRMICO TIPO DETECTOR LINEAR DE CALOR.  ",M     ,2300,            ,333.84,767832,0.1,94.57,0.05,52.16
IM1855,SARJETA DE CONCRETO fck 20 MPa  ,M3    ,2081.04,            ,348.53,725304.87,0.09,94.66,0.05,52.21
IM1899,"FORNECIMENTO, INSTALAÇÃO E LEITURA DE TERMÔMETRO ELÉTRICO DE RESISTÊNCIA COM FAIXA DE OPERAÇÃO DE -20°C A +90°C DE ACORDO COM A NORMA DIN EN6O 751 - CLASSE B (IED 751), COM DIÂMETRO DE 8,5mm X 80mm EM AÇO INOX 304  ",UN    ,1050,            ,684.12,718326,0.09,94.75,0.05,52.26
IM0711,BRITA GRADUADA USINA - BGSU  ,M3    ,20746.7,            ,34,705387.8,0.09,94.84,0.05,52.31
IM1744,"REVESTIMENTO CERÂMICO ANTI-PICHAÇÃO, JUNTAS AMARRAÇÃO OU PRUMO - ASSENTADOS COM ARGAMASSA COLANTE  ",M2    ,22895.96,            ,28.73,657800.93,0.08,94.92,0.05,52.36
IM1611,"TUBO DE AÇO CARBONO EXTREMIDADE CHANFRADA, PRETO, SEM COSTURA, ASTM -120, SCH-40 - Ø100 mm  ",M     ,1740.04,            ,354.46,616774.58,0.08,95,0.04,52.4
IM1338,"TUBO DE AÇO CARBONO EXTREMIDADE CHANFRADA, PRETO, SEM COSTURA, ASTM -120, SCH-40 - Ø100 mm  ",M     ,1707.67,            ,361.02,616503.02,0.08,95.08,0.04,52.44
IM1780,"MOSAICO PORTUGUÊS, UMA OU DUAS CORES, SOBRE BASE DE AREIA  ",M2    ,9752.3,            ,59.82,583382.59,0.07,95.15,0.04,52.48
IM1678,"CONJUNTO SONOFLETOR, COMPLETO E INSTALADO, COMPOSTO DE SONOFLETOR DE 20W, SUPORTE DE FIXAÇÃO, ACESSÓRIOS E CAIXA TÉCNICA PARA DERIVAÇÃO  ",CJ    ,180,            ,3157.31,568315.8,0.07,95.22,0.04,52.52
IM1135,GUIA PRE FABRICADA CONCRETO FCK 20 MPa  ,M     ,26809.04,            ,21,562989.84,0.07,95.29,0.04,52.56
IM0003,OLEO COMBUSTÍVEL 1A  ,L     ,279828.12,            ,1.97,551261.4,0.07,95.36,0.04,52.6
IM1448,"GRUPO MOTOR GERADOR DIESEL-TRIFÁSICO (GG-01), DE 360/325KVA, 460/265V, TRIFÁSICO COM NEUTRO, COMPLETO COM PAINEL ""USCA"" E PAINÉIS ""QTA E QTM"", FORNECIDO COM AMORTECEDORES DE VIBRAÇÃO ALTA PERFORMANCE PARA LOCAIS SUJEITO A ABALO SÍSMICOS E CONJUNTO ATENUADOR DE RUÍDO PARA MÁXIMO 75DB. CONF. ESPECIFICAÇÃO TÉCNICA E DIAGRAMA ELÉTRICO.  ",CJ    ,3,            ,176867.12,530601.36,0.07,95.43,0.04,52.64
IM1863,MANTA GEOTEXTIL NÃO TECIDA RESISTENCIA LONGITUDINAL 31 kN/m  ,M2    ,52617.2,            ,9.93,522488.8,0.07,95.5,0.04,52.68
IM1682,"FORNECIMENTO, INSTALAÇÃO, TESTE E COMISSIONAMENTO DO CONJUNTO DE TELEFONE DE EMERGÊNCIA AO USUÁRIO (CALLBOX) E CAIXA TÉCNICA  ",CJ    ,50,            ,10040.34,502017,0.06,95.56,0.04,52.72
IM1459,PROJETOR DE LED: EON-L – EJ12 SUPERFÍCIE (CW 780) - 57X35CM – 780 LEDS – 163W - 5000°K– FACHO: “GENERAL”  ,CJ    ,330,            ,1511.85,498910.5,0.06,95.62,0.03,52.75
IM1642,"CONDUTORES DE COBRE, ISOLAÇÃO 760V, BAIXA EMISSÃO DE GASES TÓXICOS QUANDO QUEIMAR, SEÇÃO, 50MM2  ",M     ,21130,            ,23.08,487680.4,0.06,95.68,0.03,52.78
IM1776,"LADRILHO HIDRÁULICO SULCADO, BRANCO OU PRETO  ",M2    ,8594,            ,56.74,487623.56,0.06,95.74,0.03,52.81
IM1777,"PISO DE CONCRETO INTERTRAVADO, ESPESSURA 8 cm  ",M2    ,13055.38,            ,37.32,487226.78,0.06,95.8,0.03,52.84
IM1934,MATERIAL CONSUMO DE CONSUMO PERFURAÇÃO DRENO  ,M     ,46362,            ,10.5,486801,0.06,95.86,0.03,52.87
IM1524,CABO ÓPTICO MONOMODO - OUTDOOR/ INDOOR 4FO PRÉ-CONECTORIZADO (PMV / BACKBONE / DEMAIS SISTEMAS)  ,M     ,61920,            ,7.55,467496,0.06,95.92,0.03,52.9
IM1654,"CABO FLEXÍVEL - ISOLAÇÃO EM PVC-90°C - CLASSE 4 OU 5 - 0,6/1kV - 3Cx10,0mm²  ",M     ,36000,            ,12.67,456120,0.06,95.98,0.03,52.93
IM1098,CUSTO DE MANUTENÇÃO  ,H     ,44882.402557,            ,10,448824,0.06,96.04,0.03,52.96
IM1859,"TUBO DE PVC PERFURADO OU NÃO D=0,05M  ",M     ,30374,            ,14.44,438600.56,0.06,96.1,0.03,52.99
IM1362,"RESERVATÓRIO DE INCÊNDIO COM CAPACIDADE PARA 100M³, FEITO EM CONCRETO  ",UN    ,1,            ,436757.5,436757.5,0.06,96.16,0.03,53.02
IM1608,APLICAÇÃO DE VERNIZ ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO)  ,M2    ,9354,            ,46.47,434680.38,0.06,96.22,0.03,53.05
IM1047,BARRA DE AÇO CA-50 - MÉDIA BITOLAS  ,KG    ,169182.3325,            ,2.5,422955.84,0.05,96.27,0.03,53.08
IM1316,SERVIÇO DE INSTALAÇÃO DE SINALIZAÇÃO ITEM 7  ,H     ,6913.173852,            ,60,414790.44,0.05,96.32,0.03,53.11
IM1409,"CABO DE COBRE SINGELO, TÊMPERA MOLE, ENCORDOAMENTO CLASSE 2, CLASSE DE TENSÃO 8,7/15KVV, COM ISOLAÇÃO EM BORRACHA ETILENO-PROPILENO EPR (90°C), CAPA EXTERNA EM PVC (70°C), SEÇÃO: Ø95MM²  ",M     ,8400,            ,47.16,396144,0.05,96.37,0.03,53.14
IM1447,"GRUPO MOTOR GERADOR DIESEL-TRIFÁSICO (GG-01), DE 1000/920kVA, 460/265V, TRIFÁSICO COM NEUTRO, COMPLETO COM PAINEL ""USCA"" E PAINÉIS ""QTA e QTM"", FORNECIDO COM AMORTECEDORES DE VIBRAÇÃO ALTA PERFORMANCE PARA LOCAIS SUJEITO A ABALO SÍSMICOS E CONJUNTO ATENUADOR DE RUÍDO PARA MÁXIMO 85dB. CONF. ESPECIFICAÇÃO TÉCNICA E DIAGRAMA ELÉTRICO.  ",CJ    ,2,            ,193517.16,387034.32,0.05,96.42,0.03,53.17
IM0406,"CAIBROS DE 7,5 CM X 7,5 CM  ",M     ,67440.238117,            ,5.63,379688.85,0.05,96.47,0.03,53.2
IM1555,CONTROLADOR DE DETECÇÃO LINEAR DE CALOR  ,CJ    ,6,            ,63117.81,378706.86,0.05,96.52,0.03,53.23
IM1778,"PISO DE CONCRETO INTERTRAVADO, ESPESSURA 10 cm  ",M2    ,8782,            ,43.06,378152.92,0.05,96.57,0.03,53.26
IM1581,"PÓRTICO FIXAÇÃO DE PMV E CÂMERA - ALTURA LIVRE MÍNIMA DE 6,20M, COM PASSARELA PARA MANUTENÇÃO E ESCADA. COM PLACA METÁLICA PARA FIXAÇÃO DO PMV PARA EVITAR TREPIDAÇÃO  ",CJ    ,8,            ,44201.08,353608.64,0.04,96.61,0.02,53.28
IM1765,APLICAÇÃO DE TINTA ANTI-PICHAÇÃO - BASE SOLVENTE - 2 DEMÃOS (REMOÇÃO DA PICHAÇÃO SOMENTE A SECO OU COM ÁGUA E SABÃO)  ,M2    ,21200,            ,16.64,352768,0.04,96.65,0.02,53.3
IM1554,"CONJUNTO SONOFLETOR, COMPLETO E INSTALADO, COMPOSTO DE SONOFLETOR DE 20W, SUPORTE DE FIXAÇÃO, ACESSÓRIOS E CAIXA TÉCNICA PARA DERIVAÇÃO  ",CJ    ,119,            ,2956.39,351810.41,0.04,96.69,0.02,53.32
IM0104,EMULSÃO ASFÁLTICA RR-1C  ,T     ,136.853224,            ,2500,342133.06,0.04,96.73,0.02,53.34
IM1449,"GRUPO MOTOR GERADOR DIESEL-TRIFÁSICO (GG-01/02), DE 1000/920kVA, 460/265V, TRIFÁSICO COM NEUTRO, COMPLETO COM PAINEL ""USCA"" E PAINÉIS ""QTA e QTM"", FORNECIDO COM AMORTECEDORES DE VIBRAÇÃO ALTA PERFORMANCE PARA LOCAIS SUJEITO A ABALO SÍSMICOS E CONJUNTO ATENUADOR DE RUÍDO PARA MÁXIMO 85dB. CONF. ESPECIFICAÇÃO TÉCNICA E DIAGRAMA ELÉTRICO.  ",CJ    ,2,            ,169327.52,338655.04,0.04,96.77,0.02,53.36
IM1364,PLACA DE GRFC  ,M2    ,10230,            ,32.67,334214.1,0.04,96.81,0.02,53.38
IM1756,PISO CIMENTÍCIO VIBRO-PRENSADO À 240TON - ALTA RESISTÊNCIA - ANTIDERRAPANTE (LAVAGGIO) - SELADO  ,M2    ,1580,            ,204.48,323078.4,0.04,96.85,0.02,53.4
IM1677,CONJUNTO SINALIZADORES DE ABANDONO ELETRÔNICO COMPLETO E INSTALADO  ,CJ    ,180,            ,1770.32,318657.6,0.04,96.89,0.02,53.42
IM1748,"CIMENTADO COMUM, DESEMPENADO - ESPESSURA 20 mm  ",M2    ,27266.82,            ,11.6,316295.11,0.04,96.93,0.02,53.44
IM1866,PLACA PRÉ MOLDADA DE CONCRETO PARA GUARDA CORPO PP-DE-C04/021  ,UN    ,2200,            ,141.21,310662,0.04,96.97,0.02,53.46
IM0319,ARAME RECOZIDO Nº. 18  ,KG    ,69723.279972,            ,4.34,302599,0.04,97.01,0.02,53.48
IM1547,"CONJUNTO COMPLETO COMPOSTO DE CONTROLADORES LÓGICOS PROGRAMÁVEIS (CLPS) MONTADOS EM RACK COM BORNES, FONTES, CARTÕES DE ENTRADA E SAÍDA (E/S), PROCESSADOR (CPU) E MÓDULOS DE COMUNICAÇÃO EM REDE ETHERNET.  ",CJ    ,12,            ,23749.82,284997.84,0.04,97.05,0.02,53.5
IM1854,INSTALAÇÃO DE ITENS SEGURANÇA E SINALIZAÇÃO  ,H     ,3480.986,            ,80,278478.88,0.04,97.09,0.02,53.52
IM1548,"CONJUNTO DE AMPLIFICADOR DE 500 W C/ 2 CANAIS DE 250 W, COMPLETO E INSTALADO  ",CJ    ,13,            ,21396.85,278159.05,0.04,97.13,0.02,53.54
IM1710,FORNECIMENTO DE ESTRUTURA METÁLICA PARA COBERTURA  ,KG    ,51371.81,            ,5.39,276894.06,0.04,97.17,0.02,53.56
IM1830,"TUBO DE FºFº - PONTA E BOLSA, CLASSE K7,DN 200MM  ",M     ,1317,            ,209.44,275832.48,0.03,97.2,0.02,53.58
IM0411,COMPENSADO PLASTIFICADO DE 17 MM  ,M2    ,7804.74,            ,33.47,261224.65,0.03,97.23,0.02,53.6
IM1396,"POSTE DE AÇO RETO SIMPLES, DE SEÇÃO CIRCULAR, SP-6/8, COM SUPORTE PARA MONTAGEM DE 1 LUMINÁRIA, PARA FIXAÇÃO COM CHUMBADORES, JANELA DE INSPEÇÃO, DIÂMETRO NA EXTREMIDADE DE 60 MM, COM 10 METROS DE ALTURA.  ",PÇ    ,170,            ,1511.85,257014.5,0.03,97.26,0.02,53.62
IM1508,"CABO FLEXÍVEL - ISOLAÇÃO EM PVC-90°C - CLASSE 4 OU 5 - 0,6/1kV - 3Cx10,0mm²  ",M     ,24200,            ,10.55,255310,0.03,97.29,0.02,53.64
IM1445,EXECUÇÃO DE BASE DE POSTE DE AÇO FLANGEADO ATÉ 12M DE ALTURA  ,PÇ    ,308,            ,815.18,251075.44,0.03,97.32,0.02,53.66
IM1808,"ESTRUTURA METÁLICA PARA INSTALAÇÃO DE BANDEJA DE CABOS DO SISTEMA DE ILUMINAÇÃO, MONITORAMENTO, ENERGIA PARA OS TURBOVENTILADORES E FIXAÇÃO DAS LUMINÁRIAS COM FECHAMENTO EM PLACAS METÁLICAS  ",M     ,3201,            ,76.68,245452.68,0.03,97.35,0.02,53.68
